@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FX,FREQ,Country or Index type,Frequency
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-02,2006-01-02,101.4155,101.4155,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-03,2006-01-03,100.7558,100.7558,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-04,2006-01-04,100.2288,100.2288,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-05,2006-01-05,100.2992,100.2992,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-06,2006-01-06,100.0241,100.0241,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-09,2006-01-09,100.1794,100.1794,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-10,2006-01-10,100.1436,100.1436,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-11,2006-01-11,99.871,99.871,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-12,2006-01-12,100.0643,100.0643,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-13,2006-01-13,99.9675,99.9675,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-16,2006-01-16,99.9715,99.9715,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-17,2006-01-17,100.2447,100.2447,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-18,2006-01-18,100.4085,100.4085,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-19,2006-01-19,100.1862,100.1862,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-20,2006-01-20,99.9017,99.9017,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-23,2006-01-23,99.3783,99.3783,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-24,2006-01-24,99.3434,99.3434,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-25,2006-01-25,99.348,99.348,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-26,2006-01-26,99.4798,99.4798,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-27,2006-01-27,99.6433,99.6433,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-30,2006-01-30,99.7144,99.7144,BRD,9,Nominal Broad Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFB_N.B,Nominal Broad Dollar Index – Business day,2006-01-31,2006-01-31,99.4311,99.4311,BRD,9,Nominal Broad Dollar Index,Business day
