@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FX,FREQ,Country or Index type,Frequency
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-02,2006-01-02,101.7857,101.7857,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-03,2006-01-03,100.6967,100.6967,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-04,2006-01-04,100.0512,100.0512,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-05,2006-01-05,100.2697,100.2697,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-06,2006-01-06,99.8965,99.8965,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-09,2006-01-09,100.3432,100.3432,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-10,2006-01-10,100.1823,100.1823,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-11,2006-01-11,99.7012,99.7012,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-12,2006-01-12,100.2245,100.2245,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-13,2006-01-13,99.929,99.929,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-16,2006-01-16,99.929,99.929,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-17,2006-01-17,100.362,100.362,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-18,2006-01-18,100.5168,100.5168,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-19,2006-01-19,100.2299,100.2299,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-20,2006-01-20,99.8988,99.8988,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-23,2006-01-23,99.0548,99.0548,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-24,2006-01-24,99.0845,99.0845,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-25,2006-01-25,99.1685,99.1685,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-26,2006-01-26,99.4062,99.4062,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-27,2006-01-27,99.8055,99.8055,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-30,2006-01-30,99.944,99.944,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-01-31,2006-01-31,99.5198,99.5198,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-02-01,2006-02-01,99.7872,99.7872,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-02-02,2006-02-02,99.8986,99.8986,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-02-03,2006-02-03,100.4795,100.4795,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-02-06,2006-02-06,100.7223,100.7223,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-02-07,2006-02-07,100.6885,100.6885,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-02-08,2006-02-08,101.0714,101.0714,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-02-09,2006-02-09,100.7422,100.7422,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-02-10,2006-02-10,100.9745,100.9745,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-02-13,2006-02-13,101.0531,101.0531,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-02-14,2006-02-14,101.1129,101.1129,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-02-15,2006-02-15,101.1606,101.1606,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-02-16,2006-02-16,101.3203,101.3203,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-02-17,2006-02-17,101.1249,101.1249,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-02-20,2006-02-20,101.1249,101.1249,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-02-21,2006-02-21,100.9599,100.9599,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-02-22,2006-02-22,101.0156,101.0156,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-02-23,2006-02-23,100.7685,100.7685,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-02-24,2006-02-24,100.9584,100.9584,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-02-27,2006-02-27,100.6459,100.6459,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-02-28,2006-02-28,100.2045,100.2045,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-03-01,2006-03-01,100.346,100.346,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-03-02,2006-03-02,99.8478,99.8478,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-03-03,2006-03-03,99.8903,99.8903,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-03-06,2006-03-06,100.2805,100.2805,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-03-07,2006-03-07,100.9863,100.9863,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-03-08,2006-03-08,101.2344,101.2344,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-03-09,2006-03-09,101.2668,101.2668,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-03-10,2006-03-10,101.6481,101.6481,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-03-13,2006-03-13,101.4533,101.4533,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-03-14,2006-03-14,100.6379,100.6379,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-03-15,2006-03-15,100.5902,100.5902,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-03-16,2006-03-16,100.1566,100.1566,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFN_N.B,Nominal Advanced Foreign Economies Dollar Index – Business day,2006-03-17,2006-03-17,99.9849,99.9849,AFE,9,Nominal Advanced Foreign Economies Dollar Index,Business day
