@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FX,FREQ,Country or Index type,Frequency
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-02,2006-01-02,100.9386,100.9386,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-03,2006-01-03,100.8318,100.8318,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-04,2006-01-04,100.4582,100.4582,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-05,2006-01-05,100.3368,100.3368,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-06,2006-01-06,100.1888,100.1888,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-09,2006-01-09,99.9677,99.9677,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-10,2006-01-10,100.0931,100.0931,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-11,2006-01-11,100.0905,100.0905,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-12,2006-01-12,99.8573,99.8573,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-13,2006-01-13,100.0169,100.0169,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-16,2006-01-16,100.0261,100.0261,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-17,2006-01-17,100.093,100.093,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-18,2006-01-18,100.2684,100.2684,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-19,2006-01-19,100.1294,100.1294,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-20,2006-01-20,99.9051,99.9051,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-23,2006-01-23,99.7974,99.7974,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-24,2006-01-24,99.6786,99.6786,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-25,2006-01-25,99.58,99.58,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-26,2006-01-26,99.5745,99.5745,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-27,2006-01-27,99.4336,99.4336,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-30,2006-01-30,99.4179,99.4179,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-01-31,2006-01-31,99.3163,99.3163,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-02-01,2006-02-01,99.3884,99.3884,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
daily,FED,H10,Foreign Exchange Rates,JRXWTFO_N.B,Nominal Emerging Market Economies Dollar Index – Business day,2006-02-02,2006-02-02,99.653,99.653,EME,9,Nominal Emerging Market Economies Dollar Index,Business day
