@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,frequency,unit,time,Frequency,Unit,Time
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-02,1968-01-02,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-03,1968-01-03,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-04,1968-01-04,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-05,1968-01-05,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-08,1968-01-08,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-09,1968-01-09,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-10,1968-01-10,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-11,1968-01-11,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-12,1968-01-12,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-15,1968-01-15,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-16,1968-01-16,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-17,1968-01-17,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-18,1968-01-18,NA,,D,USD,PM,Daily,US Dollar,PM
daily,LBMA,gold,LBMA Gold Prices,gold_D_USD_PM,LBMA Gold Prices - Daily - USD - PM,1968-01-19,1968-01-19,NA,,D,USD,PM,Daily,US Dollar,PM
