@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,frequency,unit,time,Frequency,Unit,Time
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-02,1968-01-02,2.173,2.173,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-03,1968-01-03,2.225,2.225,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-04,1968-01-04,2.171,2.171,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-05,1968-01-05,2.157,2.157,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-08,1968-01-08,2.163,2.163,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-09,1968-01-09,2.109,2.109,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-10,1968-01-10,2.085,2.085,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-11,1968-01-11,2.094,2.094,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-12,1968-01-12,2.127,2.127,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-15,1968-01-15,2.114,2.114,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-16,1968-01-16,2.069,2.069,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-17,1968-01-17,2.067,2.067,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-18,1968-01-18,2.058,2.058,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-19,1968-01-19,2.078,2.078,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-22,1968-01-22,2.088,2.088,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-23,1968-01-23,2.08,2.08,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-24,1968-01-24,2.064,2.064,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-25,1968-01-25,2.018,2.018,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-26,1968-01-26,2.069,2.069,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-29,1968-01-29,2.039,2.039,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-30,1968-01-30,2.019,2.019,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-01-31,1968-01-31,1.96,1.96,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-02-01,1968-02-01,1.995,1.995,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-02-02,1968-02-02,2.02,2.02,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-02-05,1968-02-05,2.0,2.0,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-02-06,1968-02-06,1.948,1.948,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-02-07,1968-02-07,1.965,1.965,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-02-08,1968-02-08,1.979,1.979,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-02-09,1968-02-09,1.938,1.938,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-02-12,1968-02-12,1.929,1.929,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-02-13,1968-02-13,1.923,1.923,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-02-14,1968-02-14,1.919,1.919,D,USD,,Daily,US Dollar,
daily,LBMA,silver,LBMA Silver Prices,silver_D_USD,LBMA Silver Prices - Daily - USD,1968-02-15,1968-02-15,1.939,1.939,D,USD,,Daily,US Dollar,
